@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric
@attribute outputs-16 numeric
@attribute outputs-17 numeric
@attribute outputs-18 numeric
@attribute outputs-19 numeric
@attribute outputs-20 numeric

@data
3004,'2019/07/08 17:20:50:443',9,448.627289,385.277832,43.354828,520.531555,377.376892,59.828831,606.424377,382.378021,61.497643,681.980469,392.756592,56.811504,719.025146,406.757751,48.437305,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3005,'2019/07/08 17:20:50:523',9,449.320648,385.954651,43.313171,521.228821,377.760529,59.781532,607.176758,382.262451,61.453342,683.00415,392.326416,56.780186,720.476318,406.18631,48.409904,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3006,'2019/07/08 17:20:50:592',9,449.51474,386.699097,43.226406,520.987305,378.227112,59.719509,606.99353,382.523529,61.433792,682.936523,392.666992,56.805042,721.178284,406.560547,48.432163,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3007,'2019/07/08 17:20:50:675',9,449.027039,386.8461,43.166595,520.147583,378.753784,59.701088,606.21521,383.114807,61.455978,681.83905,393.864868,56.860996,720.594238,407.649811,48.477146,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3008,'2019/07/08 17:20:50:777',9,448.617371,387.098511,43.130184,519.64801,379.161682,59.695507,605.734009,383.52478,61.466759,681.681396,394.181122,56.870895,719.845337,408.420837,48.504925,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3009,'2019/07/08 17:20:50:844',9,448.0224,387.287781,43.11166,518.946045,379.635254,59.704666,605.033325,384.133179,61.496368,681.224182,394.699249,56.907085,719.490601,408.993256,48.531433,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3010,'2019/07/08 17:20:50:926',9,447.580048,387.450562,43.102974,518.486755,379.863953,59.713364,604.563599,384.566101,61.516609,680.969971,394.891022,56.934902,719.532776,409.209015,48.539349,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3011,'2019/07/08 17:20:51:002',9,446.90274,387.431335,43.107433,517.896423,379.836426,59.737915,603.920898,384.6138,61.551689,680.228149,394.989868,56.985168,718.161865,409.850464,48.621361,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3012,'2019/07/08 17:20:51:057',9,446.986572,387.490967,43.116005,517.850708,379.804138,59.734913,603.904053,384.566803,61.551815,680.11145,395.068817,56.993382,718.319397,409.604797,48.646431,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3013,'2019/07/08 17:20:51:126',9,447.059845,387.399384,43.12764,517.844482,379.875488,59.743423,603.720154,384.563477,61.568806,679.814697,395.063873,57.024246,717.896484,409.717468,48.692314,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3014,'2019/07/08 17:20:51:196',9,447.336121,387.605225,43.012318,517.368408,379.998352,59.657337,602.991394,384.667389,61.536419,679.216064,394.986755,57.051453,717.750732,409.462158,48.759594,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3015,'2019/07/08 17:20:51:277',9,447.035858,387.665863,43.039219,517.010132,380.251465,59.683765,602.468872,384.886871,61.565575,678.731384,395.00473,57.085133,717.499512,409.227173,48.787621,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3016,'2019/07/08 17:20:51:377',9,445.297729,387.554535,43.242413,515.195313,380.472107,59.883736,600.567139,385.3927,61.763912,676.724976,395.672882,57.274391,715.150513,409.945831,48.976749,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3017,'2019/07/08 17:20:51:522',9,444.462921,387.576324,43.371925,514.456787,380.368042,60.008045,599.900635,385.154388,61.877441,675.956177,395.521027,57.379833,713.863159,410.056091,49.085686,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
3018,'2019/07/08 17:20:51:591',9,444.812714,387.55368,43.400753,514.876038,380.309479,60.034199,600.348511,384.99292,61.897331,676.571655,395.205078,57.392712,715.678162,408.959961,49.067539,-0.012171,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
